Date,Item_Sales,Avg_Price
2023-03-21,298,5.822785234899329
2023-03-22,275,5.732181818181819
2023-03-23,261,5.739425287356322
2023-03-24,310,5.672064516129032
2023-03-25,358,5.972821229050279
2023-03-26,452,5.925973451327433
2023-03-27,295,5.87535593220339
2023-03-28,269,5.837732342007435
2023-03-29,315,5.774857142857143
2023-03-30,289,5.8042560553633225
2023-03-31,347,5.985072046109511
2023-04-01,375,6.174133333333334
2023-04-02,438,5.86027397260274
2023-04-03,298,5.918959731543624
2023-04-04,350,5.9116
2023-04-05,288,5.811527777777778
2023-04-06,396,5.946186868686869
2023-04-07,328,5.783841463414634
2023-04-08,379,5.8112664907651705
2023-04-09,246,6.006463414634146
2023-04-10,396,4.499545454545454
2023-04-11,449,4.651581291759466
2023-04-12,443,4.767878103837472
2023-04-13,572,5.008881118881119
2023-04-14,593,5.048853288364249
2023-04-15,456,5.4828289473684215
2023-04-16,435,5.361724137931034
2023-04-17,341,5.236656891495601
2023-04-18,296,5.006486486486486
2023-04-19,335,5.205253731343284
2023-04-20,395,5.247265822784811
2023-04-21,476,5.3275210084033615
2023-04-22,443,5.312099322799097
2023-04-23,390,5.410794871794872
2023-04-24,313,5.734504792332268
2023-04-25,256,5.865234375
2023-04-26,319,5.8271159874608145
2023-04-27,322,6.0467701863354035
2023-04-28,302,5.969933774834438
2023-04-29,419,5.983293556085919
2023-04-30,352,6.066761363636363
2023-05-01,322,5.9747826086956515
2023-05-02,269,5.816505576208178
2023-05-03,342,5.894093567251462
2023-05-04,316,5.973829113924051
2023-05-05,351,5.888945868945869
2023-05-06,497,5.885211267605634
2023-05-07,523,5.876022944550669
2023-05-08,348,5.886120689655172
2023-05-09,274,5.976058394160584
2023-05-10,376,6.05125
2023-05-11,346,5.915606936416185
2023-05-12,427,5.848665105386417
2023-05-13,450,5.9548
2023-05-14,465,5.884473118279569
2023-05-15,298,5.885268456375838
2023-05-16,297,5.934377104377105
2023-05-17,289,5.879204152249135
2023-05-18,331,5.870785498489426
2023-05-19,357,5.875042016806722
2023-05-20,372,6.0918817204301074
2023-05-21,483,6.050559006211181
2023-05-22,332,5.9700903614457825
2023-05-23,333,5.914564564564564
2023-05-24,295,5.792338983050848
2023-05-25,339,5.774041297935103
2023-05-26,423,5.847872340425532
2023-05-27,450,5.8623111111111115
2023-05-28,531,5.952184557438795
2023-05-29,468,6.108867521367521
2023-05-30,277,5.883357400722022
2023-05-31,332,5.83710843373494
2023-06-01,436,5.770779816513762
2023-06-02,383,5.858224543080939
2023-06-03,218,5.724266055045871
2023-06-04,404,5.9857178217821785
2023-06-05,299,5.78685618729097
2023-06-06,314,5.764872611464968
2023-06-07,331,5.801389728096677
2023-06-08,283,6.0145583038869255
2023-06-09,353,5.75784702549575
2023-06-10,346,5.897080924855491
2023-06-11,497,5.97036217303823
2023-06-12,382,5.723324607329843
2023-06-13,340,5.853
2023-06-14,296,5.830608108108108
2023-06-15,397,5.798942065491183
2023-06-16,388,5.800025773195876
2023-06-17,331,5.755468277945619
2023-06-18,427,5.955878220140515
2023-06-19,299,5.992408026755853
2023-06-20,304,5.984506578947368
2023-06-21,352,5.933494318181818
2023-06-22,316,5.949303797468355
2023-06-23,388,5.847731958762886
2023-06-24,337,6.0491394658753705
2023-06-25,496,5.851733870967742
2023-06-26,340,5.764911764705882
2023-06-27,370,5.748459459459459
2023-06-28,354,5.876892655367232
2023-06-29,430,5.805116279069767
2023-06-30,401,5.89221945137157
2023-07-01,396,5.8819191919191915
2023-07-02,359,6.039470752089136
2023-07-03,391,5.8757033248081845
2023-07-04,421,5.987149643705464
2023-07-05,356,5.734494382022472
2023-07-06,376,5.866675531914893
2023-07-07,394,5.783274111675127
2023-07-08,396,5.813813131313132
2023-07-09,426,5.9763849765258215
2023-07-10,235,5.923744680851064
2023-07-11,374,5.870641711229946
2023-07-12,377,5.855676392572945
2023-07-13,379,5.750026385224274
2023-07-14,398,5.952412060301508
2023-07-15,412,5.916990291262136
2023-07-16,409,6.031564792176039
2023-07-17,322,5.760093167701863
2023-07-18,319,5.69705329153605
2023-07-19,350,5.848257142857142
2023-07-20,364,5.840082417582417
2023-07-21,296,5.839222972972974
2023-07-22,357,6.004481792717087
2023-07-23,400,6.0680250000000004
2023-07-24,281,5.804448398576512
2023-07-25,252,5.868809523809524
2023-07-26,311,5.944598070739549
2023-07-27,364,5.943681318681318
2023-07-28,327,5.873975535168196
2023-07-29,359,5.895933147632312
2023-07-30,480,6.111958333333333
2023-07-31,291,5.912268041237113
2023-08-01,307,5.729641693811075
2023-08-02,255,5.89964705882353
2023-08-03,316,5.7543354430379745
2023-08-04,292,6.068424657534247
2023-08-05,393,5.92295165394402
2023-08-06,416,5.845432692307692
2023-08-07,227,5.826607929515418
2023-08-08,268,5.8866044776119395
2023-08-09,263,5.509277566539924
2023-08-10,263,5.936996197718631
2023-08-11,292,5.809041095890411
2023-08-12,305,5.801573770491803
2023-08-13,350,5.9956000000000005
2023-08-14,248,6.0387903225806445
2023-08-15,223,5.867443946188341
2023-08-16,241,5.849004149377593
2023-08-17,253,5.745454545454545
2023-08-18,284,5.837992957746479
2023-08-19,273,5.873076923076923
2023-08-20,369,6.0695392953929534
2023-08-21,243,5.653991769547325
2023-08-22,276,5.754528985507246
2023-08-23,297,5.923973063973064
2023-08-24,258,5.792713178294574
2023-08-25,297,6.006296296296296
2023-08-26,346,5.952109826589595
2023-08-27,372,6.036720430107526
2023-08-28,291,5.878041237113402
2023-08-29,322,5.838695652173913
2023-08-30,295,5.83328813559322
2023-08-31,297,5.891717171717171
2023-09-01,346,5.778121387283237
2023-09-02,350,6.0083142857142855
2023-09-03,457,6.02671772428884
2023-09-04,397,5.927959697732998
2023-09-05,255,5.716823529411765
2023-09-06,313,5.882044728434504
2023-09-07,375,5.882693333333333
2023-09-08,354,5.8316384180790966
2023-09-09,370,6.109594594594595
2023-09-10,372,6.056854838709677
2023-09-11,301,4.680996677740864
2023-09-12,278,4.891726618705036
2023-09-13,356,5.1201123595505615
2023-09-14,343,5.155889212827988
2023-09-15,405,5.179950617283951
2023-09-16,375,5.261013333333333
2023-09-17,439,5.3387243735763095
2023-09-18,269,5.010408921933085
2023-09-19,254,5.231771653543307
2023-09-20,304,5.092598684210526
2023-09-21,303,5.066864686468647
2023-09-22,340,5.388823529411765
2023-09-23,293,5.439726962457337
2023-09-24,399,5.66516290726817
2023-09-25,193,5.937305699481866
2023-09-26,209,5.796794258373206
2023-09-27,272,5.889742647058823
2023-09-28,292,5.975616438356164
2023-09-29,288,6.146840277777778
2023-09-30,321,5.999595015576324
2023-10-01,327,5.9316819571865445
2023-10-02,244,5.562172131147541
2023-10-03,318,5.738522012578616
2023-10-04,346,5.817052023121388
2023-10-05,289,6.010692041522491
2023-10-06,305,5.57855737704918
2023-10-07,246,5.986585365853658
2023-10-08,314,5.996783439490446
2023-10-09,215,5.668976744186046
2023-10-10,194,5.861185567010309
2023-10-11,274,5.787773722627737
2023-10-12,222,5.554144144144144
2023-10-13,230,5.691695652173912
2023-10-14,305,5.822032786885246
2023-10-15,316,5.985253164556962
2023-10-16,186,5.989569892473118
2023-10-17,170,5.624117647058823
2023-10-18,200,5.85895
2023-10-19,224,5.801830357142856
2023-10-20,286,5.9523426573426566
2023-10-21,268,6.062574626865672
2023-10-22,256,6.025
2023-10-23,184,5.621956521739131
2023-10-24,186,5.9229032258064525
2023-10-25,220,5.954545454545454
2023-10-26,245,5.750489795918367
2023-10-27,277,5.864043321299639
2023-10-28,328,6.106829268292683
2023-10-29,241,6.138796680497926
2023-10-30,162,5.940061728395062
2023-10-31,149,5.965234899328858
2023-11-01,185,5.896864864864865
2023-11-02,175,5.989028571428571
2023-11-03,257,6.125447470817121
2023-11-04,286,5.992447552447552
2023-11-05,323,6.021083591331269
2023-11-06,161,5.999565217391304
2023-11-07,208,6.015769230769231
2023-11-08,153,6.070196078431373
2023-11-09,209,6.315933014354067
2023-11-10,223,5.898878923766817
2023-11-11,299,6.017257525083612
2023-11-12,289,6.125363321799308
2023-11-13,180,5.963222222222222
2023-11-14,200,5.82455
2023-11-15,205,6.059512195121951
2023-11-16,229,6.160698689956332
2023-11-17,277,5.951841155234657
2023-11-18,274,5.984306569343066
2023-11-19,359,6.159303621169917
2023-11-20,182,6.016153846153847
