Date,Item_Sales,Avg_Price,Max_Temp,Min_Temp,Avg_Temp,Precipitation,Store_Hours
2022-04-16,342.0,5.474649122807017,65.0,40.0,51.5,0.0,12.5
2022-04-17,0.0,,43.0,35.0,39.0,0.29,
2022-04-18,307.0,5.597882736156351,55.0,29.0,43.2,0.01,12.0
2022-04-19,258.0,5.323062015503877,50.0,38.0,42.6,1.03,12.0
2022-04-20,371.0,5.631644204851752,52.0,37.0,43.8,0.03,12.0
2022-04-21,423.0,5.496666666666667,57.0,40.0,48.1,0.0,12.0
2022-04-22,485.0,5.448515463917526,60.0,43.0,52.2,0.01,12.5
2022-04-23,519.0,5.582466281310213,61.0,42.0,51.8,0.0,12.5
2022-04-24,495.0,5.612666666666667,51.0,44.0,47.2,0.0,12.0
2022-04-25,345.0,5.405246376811594,63.0,41.0,51.5,0.0,12.0
2022-04-26,362.0,5.516546961325967,52.0,46.0,49.6,0.0,12.0
2022-04-27,337.0,5.440830860534125,52.0,38.0,47.3,0.19,12.0
2022-04-28,390.0,5.513333333333333,48.0,36.0,41.3,0.0,12.0
2022-04-29,503.0,5.586580516898609,53.0,34.0,44.1,0.0,12.5
2022-04-30,519.0,5.441888246628131,58.0,37.0,48.3,0.0,12.5
2022-05-01,635.0,5.506251968503937,67.0,42.0,54.7,0.0,12.0
2022-05-02,392.0,5.575255102040816,54.0,43.0,47.8,0.0,12.0
2022-05-03,395.0,5.382455696202532,54.0,44.0,47.2,0.27,12.0
2022-05-04,285.0,5.558175438596491,52.0,46.0,49.1,0.02,12.0
2022-05-05,381.0,5.45244094488189,67.0,50.0,57.6,0.09,12.0
2022-05-06,457.0,5.6177899343544855,61.0,51.0,56.4,0.0,12.5
2022-05-07,463.0,5.598682505399569,51.0,41.0,46.6,0.0,12.5
2022-05-08,549.0,5.383078324225865,53.0,40.0,45.7,0.0,12.0
2022-05-09,375.0,5.572586666666666,58.0,39.0,48.8,0.0,12.0
2022-05-10,351.0,5.557920227920228,61.0,43.0,52.3,0.0,12.0
2022-05-11,378.0,5.600396825396825,68.0,45.0,56.4,0.0,12.0
2022-05-12,462.0,5.471753246753246,76.0,51.0,60.2,0.0,12.0
2022-05-13,598.0,5.456538461538462,79.0,60.0,65.3,0.0,12.5
2022-05-14,581.0,5.465886402753872,81.0,64.0,70.0,0.0,12.5
2022-05-15,637.0,5.55585557299843,77.0,63.0,67.3,0.0,12.0
